月份,产品,销量,单价,地区,销售额
2024-01,笔记本电脑,160,499,西北,79840
2024-01,手机,88,299,华南,26312
2024-01,平板,114,1999,西南,227886
2024-01,耳机,156,499,西北,77844
2024-01,键盘,54,999,华东,53946
2024-02,笔记本电脑,82,999,华东,81918
2024-02,手机,75,199,华南,14925
2024-02,平板,115,999,华南,114885
2024-02,耳机,139,1999,华南,277861
2024-02,键盘,184,199,华东,36616
2024-03,笔记本电脑,185,999,华东,184815
2024-03,手机,63,1999,华东,125937
2024-03,平板,140,999,西南,139860
2024-03,耳机,71,199,西南,14129
2024-03,键盘,118,999,华东,117882
2024-04,笔记本电脑,166,1999,华东,331834
2024-04,手机,106,299,西南,31694
2024-04,平板,73,999,华北,72927
2024-04,耳机,89,1999,华东,177911
2024-04,键盘,163,299,华北,48737
2024-05,笔记本电脑,181,1999,华北,361819
2024-05,手机,124,199,华北,24676
2024-05,平板,188,499,华南,93812
2024-05,耳机,117,499,华南,58383
2024-05,键盘,66,299,华东,19734
2024-06,笔记本电脑,142,199,西南,28258
2024-06,手机,125,1999,华南,249875
2024-06,平板,230,499,华南,114770
2024-06,耳机,218,499,华北,108782
2024-06,键盘,86,499,华北,42914
2024-07,笔记本电脑,101,299,西南,30199
2024-07,手机,179,199,西南,35621
2024-07,平板,200,1999,西北,399800
2024-07,耳机,296,999,西北,295704
2024-07,键盘,181,999,华东,180819
2024-08,笔记本电脑,79,999,西南,78921
2024-08,手机,156,499,华东,77844
2024-08,平板,145,199,华北,28855
2024-08,耳机,176,199,西南,35024
2024-08,键盘,70,499,华北,34930
2024-09,笔记本电脑,127,199,华南,25273
2024-09,手机,119,199,西南,23681
2024-09,平板,153,299,华南,45747
2024-09,耳机,178,199,华北,35422
2024-09,键盘,143,299,西南,42757
2024-10,笔记本电脑,105,1999,华北,209895
2024-10,手机,176,299,西北,52624
2024-10,平板,107,499,华北,53393
2024-10,耳机,90,1999,西南,179910
2024-10,键盘,132,499,华北,65868
2024-11,笔记本电脑,244,1999,华南,487756
2024-11,手机,310,499,华东,154690
2024-11,平板,293,999,华北,292707
2024-11,耳机,283,299,华北,84617
2024-11,键盘,97,199,华北,19303
2024-12,笔记本电脑,150,999,华东,149850
2024-12,手机,222,199,西南,44178
2024-12,平板,140,499,华北,69860
2024-12,耳机,220,499,西南,109780
2024-12,键盘,166,999,华南,165834
2025-01,笔记本电脑,149,999,西南,148851
2025-01,手机,165,499,华北,82335
2025-01,平板,139,299,华东,41561
2025-01,耳机,117,1999,华北,233883
2025-01,键盘,129,1999,西南,257871
2025-02,笔记本电脑,164,499,华北,81836
2025-02,手机,189,999,华南,188811
2025-02,平板,165,1999,华南,329835
2025-02,耳机,63,499,华东,31437
2025-02,键盘,79,199,西南,15721
2025-03,笔记本电脑,172,1999,西南,343828
2025-03,手机,108,999,华南,107892
2025-03,平板,94,999,西南,93906
2025-03,耳机,80,499,西南,39920
2025-03,键盘,89,1999,华北,177911
2025-04,笔记本电脑,105,499,西南,52395
2025-04,手机,165,199,华南,32835
2025-04,平板,174,199,华东,34626
2025-04,耳机,85,299,华东,25415
2025-04,键盘,182,299,华东,54418
2025-05,笔记本电脑,85,199,华北,16915
2025-05,手机,110,1999,华东,219890
2025-05,平板,89,299,华北,26611
2025-05,耳机,48,199,西南,9552
2025-05,键盘,49,999,华南,48951
2025-06,笔记本电脑,295,299,华东,88205
2025-06,手机,123,499,华北,61377
2025-06,平板,169,299,华东,50531
2025-06,耳机,187,499,西南,93313
2025-06,键盘,237,1999,西南,473763
2025-07,笔记本电脑,219,999,西北,218781
2025-07,手机,256,499,西南,127744
2025-07,平板,281,299,西南,84019
2025-07,耳机,241,499,华北,120259
2025-07,键盘,251,999,华东,250749
2025-08,笔记本电脑,155,299,西北,46345
2025-08,手机,113,199,西南,22487
2025-08,平板,158,299,华北,47242
2025-08,耳机,146,1999,西北,291854
2025-08,键盘,79,499,西南,39421
2025-09,笔记本电脑,209,199,西北,41591
2025-09,手机,127,999,西北,126873
2025-09,平板,198,299,西北,59202
2025-09,耳机,103,199,西北,20497
2025-09,键盘,61,1999,西南,121939
2025-10,笔记本电脑,93,299,华东,27807
2025-10,手机,207,199,西北,41193
2025-10,平板,48,299,华北,14352
2025-10,耳机,188,499,西南,93812
2025-10,键盘,203,999,华北,202797
2025-11,笔记本电脑,216,499,华北,107784
2025-11,手机,192,1999,西南,383808
2025-11,平板,197,1999,华南,393803
2025-11,耳机,128,199,华东,25472
2025-11,键盘,93,299,华东,27807
2025-12,笔记本电脑,221,499,华北,110279
2025-12,手机,259,299,西北,77441
2025-12,平板,234,1999,西南,467766
2025-12,耳机,120,299,西北,35880
2025-12,键盘,237,299,华北,70863
